customer_id,gender,age,annual_income_kusd,spending_score,purchase_freq_yr,avg_basket_usd,avg_session_min,online_ratio,loyalty_years,true_segment
11315,Male,53,95.9,25,5.6,187.86,16.4,0.42,5.6,Affluent Savers
10559,Female,39,92.0,91,15.6,230.15,30.4,0.486,3.2,Premium Loyalists
10201,Male,52,58.1,52,7.3,128.55,28.2,0.407,5.5,Mainstream
10271,Male,25,74.4,57,7.2,152.66,24.0,0.725,3.2,Mainstream
11513,Male,23,54.8,68,11.1,161.18,15.4,0.619,3.9,Young Aspirational
11376,Female,22,12.3,97,10.8,93.35,27.7,0.613,1.1,Young Aspirational
11552,Female,37,80.9,69,8.2,203.62,29.4,0.538,3.5,Noise
10408,Female,55,60.5,56,11.5,151.62,15.3,0.438,7.6,Mainstream
11194,Male,35,89.0,24,0.9,180.5,9.7,0.603,3.2,Affluent Savers
10325,Female,34,59.2,47,0.6,128.34,21.8,0.526,5.4,Mainstream
10446,Female,29,67.0,52,9.8,144.03,15.6,0.632,3.5,Mainstream
10433,Male,38,57.9,60,7.3,152.22,25.8,0.589,4.4,Mainstream
11358,Female,24,28.3,85,17.0,85.69,33.8,0.56,3.0,Young Aspirational
10834,Male,54,30.6,21,5.6,67.44,14.2,0.531,6.4,Budget Conscious
10059,Male,49,56.3,49,7.0,114.88,19.5,0.336,5.8,Mainstream
11514,Female,28,25.1,80,15.6,102.04,33.9,0.694,2.9,Young Aspirational
10621,Male,22,94.3,84,12.4,236.59,22.0,0.493,3.1,Premium Loyalists
10279,Male,22,69.2,49,7.5,149.96,29.7,0.738,3.5,Mainstream
11160,Female,45,96.5,31,4.8,196.77,13.9,0.28,4.6,Affluent Savers
10349,Male,42,79.5,60,7.8,202.39,16.0,0.523,7.1,Mainstream
10805,Male,48,83.7,83,12.9,227.02,23.1,0.3,4.1,Premium Loyalists
11201,Female,42,90.0,19,0.6,117.3,16.0,0.565,5.1,Affluent Savers
11534,Female,64,19.0,40,8.0,10.0,15.8,0.37,6.6,Noise
11536,Male,58,77.7,45,12.8,211.72,21.7,0.288,7.0,Noise
11134,Female,45,83.8,21,0.5,160.8,3.9,0.328,3.1,Affluent Savers
10505,Female,53,50.6,47,4.1,138.96,15.8,0.266,7.4,Mainstream
10117,Male,38,48.8,55,10.2,148.32,27.1,0.652,5.9,Mainstream
11019,Male,34,27.3,21,0.5,88.02,14.4,0.5,3.9,Budget Conscious
10096,Female,52,47.3,37,7.5,132.21,12.5,0.223,4.0,Mainstream
11550,Male,53,55.7,75,15.7,192.49,23.9,0.495,5.9,Noise
10998,Male,54,24.9,23,6.8,63.63,9.4,0.453,6.4,Budget Conscious
10501,Female,35,62.7,46,11.1,131.44,13.5,0.792,7.8,Mainstream
10128,Male,58,55.1,56,8.6,116.73,15.2,0.584,6.1,Mainstream
11142,Male,59,94.6,24,1.4,202.46,12.1,0.263,6.1,Affluent Savers
11522,Male,58,38.3,93,16.8,125.51,34.7,0.267,6.6,Noise
10665,Female,44,87.7,85,11.3,166.33,24.8,0.315,3.9,Premium Loyalists
11151,Female,37,85.4,22,4.6,154.11,14.6,0.452,2.8,Affluent Savers
10900,Female,69,31.0,14,3.7,77.74,10.3,0.02,9.2,Budget Conscious
10352,Female,54,65.4,57,11.6,119.09,25.1,0.411,7.7,Mainstream
10512,Female,30,51.6,51,9.7,118.38,16.8,0.611,3.2,Mainstream
10532,Female,32,87.8,78,13.0,184.95,30.1,0.46,4.2,Premium Loyalists
10946,Male,29,29.6,20,3.0,28.98,22.0,0.356,5.1,Budget Conscious
10507,Female,18,71.1,44,5.4,153.52,14.0,0.83,3.2,Mainstream
10287,Female,41,61.5,43,7.0,113.18,24.8,0.569,5.3,Mainstream
10490,Male,45,65.1,62,10.1,148.0,15.8,0.446,3.5,Mainstream
10345,Female,19,63.6,51,4.6,194.09,20.6,0.701,0.0,Mainstream
10957,Female,29,30.6,33,8.9,64.26,16.8,0.777,2.7,Budget Conscious
10714,Male,43,93.1,82,10.5,180.44,29.8,0.255,1.9,Premium Loyalists
10190,Female,44,49.7,36,2.4,110.71,20.6,0.527,3.9,Mainstream
10859,Male,69,18.0,21,3.3,58.92,9.3,0.361,8.8,Budget Conscious
10362,Male,34,82.3,57,4.7,140.82,20.0,0.418,1.3,Mainstream
11506,Female,26,22.9,68,10.7,113.24,23.2,0.639,2.1,Young Aspirational
10669,Male,51,85.9,85,14.7,236.75,41.4,0.33,4.4,Premium Loyalists
11268,Female,27,84.4,28,2.8,177.78,13.6,,4.7,Affluent Savers
10448,Male,23,54.0,58,6.8,102.67,25.2,0.681,3.7,Mainstream
10329,Female,52,62.9,57,9.4,158.42,25.4,0.381,4.6,Mainstream
10168,Female,28,64.9,43,3.7,122.71,20.0,0.77,4.0,Mainstream
11360,Male,20,24.6,82,10.3,99.36,36.6,0.99,1.5,Young Aspirational
10368,Female,45,55.2,49,5.4,129.13,25.6,0.47,3.8,Mainstream
11491,Female,31,36.5,73,10.3,119.73,26.8,0.534,3.0,Young Aspirational
10968,Female,49,25.7,31,5.7,32.1,15.0,0.554,6.2,Budget Conscious
11034,Male,40,29.2,25,7.6,75.06,10.9,0.594,3.9,Budget Conscious
10526,Female,51,88.5,81,12.5,230.41,31.6,0.336,5.0,Premium Loyalists
11602,Male,33,24.4,16,8.8,57.6,8.9,0.437,3.8,Noise
11274,Male,43,80.8,18,4.8,130.78,19.5,0.48,5.9,Affluent Savers
10141,Male,23,65.0,36,1.2,107.85,14.7,0.646,2.9,Mainstream
10821,Female,59,17.9,18,7.1,53.64,13.4,0.422,7.0,Budget Conscious
