,Time,Amount,anomali_skoru,if_tahmin,gercek_class
173353,121450.0,4861.64,0.753546414825698,1,0
220090,142019.0,5964.95,0.7487753196889253,1,0
176335,122723.0,1676.6,0.7487190309908032,1,0
46841,42951.0,12910.93,0.7389928178373208,1,0
219257,141655.0,3502.11,0.7263432513438566,1,0
262839,160669.0,1441.06,0.725392437136759,1,0
201775,134033.0,1402.38,0.7230003948112713,1,0
43428,41505.0,364.19,0.7168255893346274,1,1
153823,100223.0,2.28,0.7163267303384202,1,1
154234,100924.0,1.0,0.7159332579148384,1,1
201869,134070.0,660.38,0.7151734212111831,1,0
145022,86570.0,102.0,0.7139536036643491,1,0
228158,145381.0,8182.7,0.7118116013478356,1,0
102442,68207.0,1.0,0.7111669962995332,1,1
102444,68207.0,1.0,0.7111669962995332,1,1
138706,82802.0,305.25,0.7101639995422356,1,0
217409,140878.0,538.71,0.7087057462904358,1,0
31807,36524.0,58.09,0.7076959886667071,1,0
219776,141873.0,303.8,0.7076390739410179,1,0
43204,41413.0,106.55,0.7061234739902202,1,1
50287,44423.0,2310.0,0.7058922205904403,1,0
48955,43851.0,4627.1,0.7053826863917183,1,0
151008,94362.0,1.0,0.703842094306264,1,1
153835,100298.0,1.0,0.703427487976413,1,1
227921,145283.0,10000.0,0.7033144817573057,1,0
86492,61257.0,720.0,0.7031753836651997,1,0
19760,30537.0,7879.42,0.7029945329650349,1,0
284249,172273.0,10199.44,0.7026224898756992,1,0
212950,139052.0,1049.61,0.700293650702354,1,0
52524,45502.0,3050.69,0.7000813927831238,1,0
229859,146082.0,2687.48,0.6998580339312237,1,0
31130,36225.0,1.0,0.6979766548751255,1,0
68631,53074.0,1.18,0.6977553877638001,1,0
151519,95628.0,1.63,0.6975884549904365,1,1
228723,145630.0,7367.0,0.6970014785897806,1,0
49054,43893.0,175.0,0.6962381833601579,1,0
13942,24735.0,89.99,0.694988107862721,1,0
13833,24532.0,89.99,0.6930611464781805,1,0
14170,25198.0,99.99,0.6923916964640101,1,1
228525,145548.0,6998.0,0.6921180850833305,1,0
15451,26833.0,99.99,0.6919855136300957,1,1
14197,25231.0,99.99,0.6917069979896893,1,1
10690,18088.0,1218.89,0.691493784767068,1,1
100954,67676.0,6239.54,0.690998602381992,1,0
155296,105064.0,102.24,0.6908927823439461,1,0
15225,26585.0,99.99,0.690816033155156,1,1
15476,26863.0,99.99,0.6905823743428405,1,1
155741,106263.0,280.91,0.6903858803547,1,0
15539,26931.0,99.99,0.6903487945623339,1,1
14211,25254.0,99.99,0.6900709376811793,1,1
13405,23698.0,89.99,0.6888819469574565,1,0
42856,41273.0,173.07,0.6881268540582626,1,1
76705,56705.0,950.79,0.6875507749902459,1,0
14920,26217.0,1.0,0.6872008841003423,1,0
44513,41978.0,6669.0,0.6869605153041003,1,0
184502,126271.0,175.0,0.686779338484637,1,0
53731,46121.0,0.0,0.6866810436143503,1,0
245273,152675.0,398.0,0.6862232292753178,1,0
2963,2507.0,544.62,0.6858895560882232,1,0
210510,138013.0,328.32,0.6849853251828038,1,0
270737,164233.0,106.78,0.6848509920052375,1,0
13394,23665.0,89.99,0.6845090492847352,1,0
206783,136369.0,1174.92,0.6843588915782872,1,0
42958,41313.0,9.99,0.6842809186080153,1,1
15810,27252.0,99.99,0.6835982106259371,1,1
15781,27219.0,99.99,0.6829047927617568,1,1
